dataset,fold,method,accuracy,train_accuracy,gap,f1,roc_auc,train_time
diabetes,3,RF_default,0.738562091503268,1.0,0.261437908496732,0.7329188085490607,0.8011320754716982,0.08936953544616699
diabetes,3,XGB_default,0.7450980392156863,1.0,0.2549019607843137,0.7466649864901019,0.7945283018867925,0.03804969787597656
diabetes,3,XGB_tuned,0.7647058823529411,0.9707317073170731,0.20602582496413202,0.7636082612786166,0.7913207547169812,0.03152775764465332
diabetes,3,LGBM_default,0.7516339869281046,1.0,0.24836601307189543,0.7526792984309324,0.7832075471698114,0.03436589241027832
diabetes,3,AdaPrune_gap,0.7516339869281046,0.9105691056910569,0.1589351187629523,0.7504753869052064,0.8015094339622642,0.4296741485595703
diabetes,3,AdaPrune_trend,0.7450980392156863,0.8845528455284553,0.13945480631276896,0.7403962902684131,0.8026415094339623,0.2865889072418213
diabetes,3,AdaPrune_data,0.7647058823529411,0.8861788617886179,0.12147297943567681,0.76239907727797,0.8083018867924529,0.2856130599975586
diabetes,3,AdaPrune_hybrid,0.7516339869281046,0.9105691056910569,0.1589351187629523,0.7504753869052064,0.8015094339622642,0.31247782707214355
diabetes,4,RF_default,0.7712418300653595,1.0,0.2287581699346405,0.7696007317110529,0.7972641509433962,0.08991122245788574
diabetes,4,XGB_default,0.7124183006535948,1.0,0.2875816993464052,0.7042872704637411,0.7420754716981132,0.037578582763671875
diabetes,4,XGB_tuned,0.7058823529411765,0.975609756097561,0.26972740315638444,0.6985703964415145,0.7503773584905661,0.03561234474182129
diabetes,4,LGBM_default,0.6928104575163399,1.0,0.30718954248366015,0.6889529699024423,0.7609433962264152,0.029285907745361328
diabetes,4,AdaPrune_gap,0.7320261437908496,0.9040650406504065,0.17203889685955687,0.7346260287436759,0.7888679245283019,0.3524899482727051
diabetes,4,AdaPrune_trend,0.738562091503268,0.8894308943089431,0.15086880280567505,0.7406477742612196,0.7881132075471698,0.3223111629486084
diabetes,4,AdaPrune_data,0.7516339869281046,0.8926829268292683,0.14104893990116374,0.7526792984309324,0.789433962264151,0.3160223960876465
diabetes,4,AdaPrune_hybrid,0.7320261437908496,0.9040650406504065,0.17203889685955687,0.7346260287436759,0.7888679245283019,0.2899487018585205
dry-bean,0,RF_default,0.9855072463768116,1.0,0.01449275362318836,0.9853324131585002,0.9964857796665577,0.090545654296875
dry-bean,0,XGB_default,0.9855072463768116,1.0,0.01449275362318836,0.9853324131585002,0.998597036068432,0.028862476348876953
